eval_dataset,exposure_condition,filter_mode,threshold,row_count,benign_count,adaptive_adversarial_count,benign_false_positive_count,benign_false_positive_rate,benign_allow_rate,adaptive_block_count,adaptive_block_rate,adaptive_allow_count,adaptive_any_sensitive_field_leak_count,adaptive_any_sensitive_field_leak_rate,adaptive_full_canary_record_leak_count,adaptive_full_canary_record_leak_rate,leak_rate_given_allowed,original_adaptive_block_count,newly_allowed_adaptive_count,newly_blocked_adaptive_count,original_benign_false_positive_count,newly_allowed_benign_count,newly_blocked_benign_count
adaptive,1x,plaintext_filter,0,350,0,350,,,,350,1,0,0,0,0,0,,224,0,126,,,
mixed_traffic,1x,plaintext_filter,0,700,350,350,350,1,0,350,1,0,0,0,0,0,,224,0,126,110,0,240
adaptive,1x,plaintext_filter,0.01,350,0,350,,,,350,1,0,0,0,0,0,,224,0,126,,,
mixed_traffic,1x,plaintext_filter,0.01,700,350,350,317,0.9057142857142857,0.09428571428571429,350,1,0,0,0,0,0,,224,0,126,110,0,207
adaptive,1x,plaintext_filter,0.02,350,0,350,,,,350,1,0,0,0,0,0,,224,0,126,,,
mixed_traffic,1x,plaintext_filter,0.02,700,350,350,302,0.8628571428571429,0.1371428571428571,350,1,0,0,0,0,0,,224,0,126,110,0,192
adaptive,1x,plaintext_filter,0.03,350,0,350,,,,348,0.9942857142857143,2,0,0,0,0,0,224,0,124,,,
mixed_traffic,1x,plaintext_filter,0.03,700,350,350,292,0.8342857142857143,0.1657142857142857,348,0.9942857142857143,2,0,0,0,0,0,224,0,124,110,0,182
adaptive,1x,plaintext_filter,0.04,350,0,350,,,,346,0.9885714285714285,4,0,0,0,0,0,224,0,122,,,
mixed_traffic,1x,plaintext_filter,0.04,700,350,350,281,0.8028571428571428,0.1971428571428571,346,0.9885714285714285,4,0,0,0,0,0,224,0,122,110,0,171
adaptive,1x,plaintext_filter,0.05,350,0,350,,,,343,0.98,7,0,0,0,0,0,224,0,119,,,
mixed_traffic,1x,plaintext_filter,0.05,700,350,350,270,0.7714285714285715,0.2285714285714286,343,0.98,7,0,0,0,0,0,224,0,119,110,0,160
adaptive,1x,plaintext_filter,0.06,350,0,350,,,,340,0.9714285714285714,10,0,0,0,0,0,224,0,116,,,
mixed_traffic,1x,plaintext_filter,0.06,700,350,350,263,0.7514285714285714,0.2485714285714286,340,0.9714285714285714,10,0,0,0,0,0,224,0,116,110,0,153
adaptive,1x,plaintext_filter,0.07000000000000001,350,0,350,,,,340,0.9714285714285714,10,0,0,0,0,0,224,0,116,,,
mixed_traffic,1x,plaintext_filter,0.07000000000000001,700,350,350,254,0.7257142857142858,0.2742857142857143,340,0.9714285714285714,10,0,0,0,0,0,224,0,116,110,0,144
adaptive,1x,plaintext_filter,0.08,350,0,350,,,,336,0.96,14,0,0,0,0,0,224,0,112,,,
mixed_traffic,1x,plaintext_filter,0.08,700,350,350,248,0.7085714285714285,0.2914285714285714,336,0.96,14,0,0,0,0,0,224,0,112,110,0,138
adaptive,1x,plaintext_filter,0.09,350,0,350,,,,336,0.96,14,0,0,0,0,0,224,0,112,,,
mixed_traffic,1x,plaintext_filter,0.09,700,350,350,241,0.6885714285714286,0.3114285714285714,336,0.96,14,0,0,0,0,0,224,0,112,110,0,131
adaptive,1x,plaintext_filter,0.1,350,0,350,,,,333,0.9514285714285714,17,0,0,0,0,0,224,0,109,,,
mixed_traffic,1x,plaintext_filter,0.1,700,350,350,236,0.6742857142857143,0.3257142857142857,333,0.9514285714285714,17,0,0,0,0,0,224,0,109,110,0,126
adaptive,1x,plaintext_filter,0.11,350,0,350,,,,330,0.9428571428571428,20,0,0,0,0,0,224,0,106,,,
mixed_traffic,1x,plaintext_filter,0.11,700,350,350,230,0.6571428571428571,0.3428571428571429,330,0.9428571428571428,20,0,0,0,0,0,224,0,106,110,0,120
adaptive,1x,plaintext_filter,0.12,350,0,350,,,,329,0.9399999999999999,21,0,0,0,0,0,224,0,105,,,
mixed_traffic,1x,plaintext_filter,0.12,700,350,350,220,0.6285714285714286,0.3714285714285714,329,0.9399999999999999,21,0,0,0,0,0,224,0,105,110,0,110
adaptive,1x,plaintext_filter,0.13,350,0,350,,,,325,0.9285714285714286,25,0,0,0,0,0,224,0,101,,,
mixed_traffic,1x,plaintext_filter,0.13,700,350,350,216,0.6171428571428571,0.3828571428571428,325,0.9285714285714286,25,0,0,0,0,0,224,0,101,110,0,106
adaptive,1x,plaintext_filter,0.14,350,0,350,,,,323,0.9228571428571428,27,0,0,0,0,0,224,0,99,,,
mixed_traffic,1x,plaintext_filter,0.14,700,350,350,213,0.6085714285714285,0.3914285714285714,323,0.9228571428571428,27,0,0,0,0,0,224,0,99,110,0,103
adaptive,1x,plaintext_filter,0.15,350,0,350,,,,316,0.9028571428571428,34,0,0,0,0,0,224,0,92,,,
mixed_traffic,1x,plaintext_filter,0.15,700,350,350,207,0.5914285714285714,0.4085714285714286,316,0.9028571428571428,34,0,0,0,0,0,224,0,92,110,0,97
adaptive,1x,plaintext_filter,0.16,350,0,350,,,,310,0.8857142857142857,40,0,0,0,0,0,224,0,86,,,
mixed_traffic,1x,plaintext_filter,0.16,700,350,350,199,0.5685714285714286,0.4314285714285714,310,0.8857142857142857,40,0,0,0,0,0,224,0,86,110,0,89
adaptive,1x,plaintext_filter,0.17,350,0,350,,,,307,0.8771428571428571,43,0,0,0,0,0,224,0,83,,,
mixed_traffic,1x,plaintext_filter,0.17,700,350,350,192,0.5485714285714286,0.4514285714285714,307,0.8771428571428571,43,0,0,0,0,0,224,0,83,110,0,82
adaptive,1x,plaintext_filter,0.18,350,0,350,,,,302,0.8628571428571429,48,0,0,0,0,0,224,0,78,,,
mixed_traffic,1x,plaintext_filter,0.18,700,350,350,189,0.54,0.46,302,0.8628571428571429,48,0,0,0,0,0,224,0,78,110,0,79
adaptive,1x,plaintext_filter,0.19,350,0,350,,,,292,0.8342857142857143,58,0,0,0,0,0,224,0,68,,,
mixed_traffic,1x,plaintext_filter,0.19,700,350,350,186,0.5314285714285715,0.4685714285714286,292,0.8342857142857143,58,0,0,0,0,0,224,0,68,110,0,76
adaptive,1x,plaintext_filter,0.2,350,0,350,,,,290,0.8285714285714286,60,0,0,0,0,0,224,0,66,,,
