row_id,exposure_condition,eval_dataset,condition,filter_mode,source_type,filter_decision,response_generated,filter_total_ms,llm_generation_ms,routing_ms,total_pipeline_ms
mixed_benign_operational_transaction_scoring_001,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,14.43035097327083,187.2448213762254,0.01451204298064113,201.6896843924769
mixed_benign_operational_transaction_scoring_002,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,9.000090009067208,187.2448213762254,0.004897010512650013,196.2498083958053
mixed_benign_operational_transaction_scoring_003,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.671439019963145,187.2448213762254,0.004116969648748636,195.9203773658373
mixed_benign_operational_transaction_scoring_004,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.544477983377874,187.2448213762254,0.003455032128840685,195.7927543917322
mixed_benign_operational_transaction_scoring_005,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.369525952730328,187.2448213762254,0.003364984877407551,195.6177123138332
mixed_benign_operational_transaction_scoring_006,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.541383023839444,187.2448213762254,0.003465043846517801,195.7896694439114
mixed_benign_operational_transaction_scoring_007,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.6710270261392,187.2448213762254,0.003585009835660458,195.9194334122003
mixed_benign_operational_transaction_scoring_008,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.596606028731912,187.2448213762254,0.003385008312761784,195.8448124132701
mixed_benign_operational_transaction_scoring_009,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.53821897180751,187.917761875724,0.003404973540455103,196.4593858210719
mixed_benign_operational_transaction_scoring_010,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.526172023266554,187.917761875724,0.0033950200304389,196.4473289190209
mixed_benign_operational_transaction_scoring_011,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.964227046817541,187.917761875724,0.00309402821585536,196.8850829507574
mixed_benign_operational_transaction_scoring_012,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.840041002258658,187.917761875724,0.003054970875382423,196.760857848858
mixed_benign_operational_transaction_scoring_013,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,9.828582988120615,187.917761875724,0.00309402821585536,197.7494388920604
mixed_benign_operational_transaction_scoring_014,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.461732999421656,187.917761875724,0.002894958015531301,196.3823898331611
mixed_benign_operational_transaction_scoring_015,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.355163969099522,187.917761875724,0.003224005922675133,196.2761498507462
mixed_benign_operational_transaction_scoring_016,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.355785976164043,187.917761875724,0.003074004780501127,196.2766218566685
mixed_benign_operational_transaction_scoring_017,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.201604010537267,184.4628852486494,0.003324996214359999,192.667814255401
mixed_benign_operational_transaction_scoring_018,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.403465035371482,184.4628852486494,0.003274006303399801,192.8696242903243
mixed_benign_operational_transaction_scoring_019,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.426290936768055,184.4628852486494,0.002953980583697557,192.8921301660012
mixed_benign_operational_transaction_scoring_020,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.26577004045248,184.4628852486494,0.002834014594554901,192.7314893036964
mixed_benign_operational_transaction_scoring_021,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,9.06842399854213,184.4628852486494,0.002914981450885534,193.5342242286424
mixed_benign_operational_transaction_scoring_022,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.672369993291795,184.4628852486494,0.002974993549287319,193.1382302354905
mixed_benign_operational_transaction_scoring_023,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.362273976672441,184.4628852486494,0.002673943527042866,192.8278331688489
mixed_benign_operational_transaction_scoring_024,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.348684990778565,184.4628852486494,0.003175053279846907,192.8147452927078
mixed_benign_operational_transaction_scoring_025,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.461474033538252,184.9218974966789,0.002863991539925337,193.386235521757
mixed_benign_operational_transaction_scoring_026,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.489786996506155,184.9218974966789,0.003274006303399801,193.4149584994884
mixed_benign_operational_transaction_scoring_027,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.583176007959992,184.9218974966789,0.002935004886239767,193.5080085095251
mixed_benign_operational_transaction_scoring_028,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.585108967963606,184.9218974966789,0.002945016603916883,193.5099514812464
mixed_benign_operational_transaction_scoring_029,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.345438924152404,184.9218974966789,0.003053981345146894,193.2703904021764
mixed_benign_operational_transaction_scoring_030,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.250767015852034,184.9218974966789,0.00285397982224822,193.1755184923531
mixed_benign_operational_transaction_scoring_031,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.918829960748553,184.9218974966789,0.002784014213830233,193.8435114716412
mixed_benign_operational_transaction_scoring_032,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.444197999779135,184.9218974966789,0.002734013833105564,193.3688295102911
mixed_benign_operational_transaction_scoring_033,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.229204977396876,184.4719341243035,0.003255030605942011,192.7043941323063
mixed_benign_operational_transaction_scoring_034,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.578540000598878,184.4719341243035,0.002874003257602453,193.05334812816
mixed_benign_operational_transaction_scoring_035,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.494212990626693,184.4719341243035,0.002904038410633802,192.9690511533408
mixed_benign_operational_transaction_scoring_036,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.472490007989109,184.4719341243035,0.002854038029909134,192.9472781703225
mixed_benign_operational_transaction_scoring_037,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.741955040022731,184.4719341243035,0.002724002115428448,193.2166131664417
mixed_benign_operational_transaction_scoring_038,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.472569985315204,184.4719341243035,0.002653978299349546,192.9471580879181
mixed_benign_operational_transaction_scoring_039,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.12968605896458,184.4719341243035,0.00286404974758625,192.6044842330157
mixed_benign_operational_transaction_scoring_040,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.310567063745111,184.4719341243035,0.002703978680074215,192.7852051667287
mixed_benign_operational_transaction_scoring_041,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.834832988213748,184.9244240002008,0.002804037649184465,193.7620610260637
mixed_benign_operational_transaction_scoring_042,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.381042978726327,184.9244240002008,0.002824002876877785,193.308290981804
mixed_benign_operational_transaction_scoring_043,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.392331015784293,184.9244240002008,0.002634013071656227,193.3193890290568
mixed_benign_operational_transaction_scoring_044,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.360831940080971,184.9244240002008,0.002924003638327122,193.2881799439201
mixed_benign_operational_transaction_scoring_045,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.331299002747983,184.9244240002008,0.002874992787837982,193.2585979957366
mixed_benign_operational_transaction_scoring_046,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.468163956422359,184.9244240002008,0.002663990017026663,193.3952519466402
mixed_benign_operational_transaction_scoring_047,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.45656607998535,184.9244240002008,0.003164983354508877,193.3841550635407
mixed_benign_operational_transaction_scoring_048,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,10.01700601773337,184.9244240002008,0.002724002115428448,194.9441540200496
mixed_benign_operational_transaction_scoring_049,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.307984040584415,188.7373089994071,0.002663990017026663,197.0479570300085
mixed_benign_operational_transaction_scoring_050,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.458919008262455,188.7373089994071,0.002724002115428448,197.198952009785
mixed_benign_operational_transaction_scoring_051,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,9.134241961874068,188.7373089994071,0.002924993168562651,197.8744759544497
mixed_benign_operational_transaction_scoring_052,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.688243047799915,188.7373089994071,0.002863991539925337,197.4284160387469
mixed_benign_operational_transaction_scoring_053,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.269286016002297,188.7373089994071,0.00287394504994154,197.0094689604593
mixed_benign_operational_transaction_scoring_054,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.587552991230041,188.7373089994071,0.002724002115428448,197.3275859927526
mixed_benign_operational_transaction_scoring_055,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.367673028260469,188.7373089994071,0.003124994691461325,197.108107022359
mixed_benign_operational_transaction_scoring_056,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.418349956627935,188.7373089994071,0.002954970113933086,197.158613926149
mixed_benign_operational_transaction_scoring_057,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.435313939116895,183.5933972470229,0.002944027073681355,192.0316552132135
mixed_benign_operational_transaction_scoring_058,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.403356012422591,183.5933972470229,0.002964981831610203,191.9997182412772
mixed_benign_operational_transaction_scoring_059,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.30618996405974,183.5933972470229,0.002845015842467546,191.9024322269252
mixed_benign_operational_transaction_scoring_060,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.317287021782249,183.5933972470229,0.002764980308711529,191.9134492491139
mixed_benign_operational_transaction_scoring_061,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.479481039103121,183.5933972470229,0.002985005266964436,192.075863291393
mixed_benign_operational_transaction_scoring_062,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.876806008629501,183.5933972470229,0.002924003638327122,192.4731272592908
mixed_benign_operational_transaction_scoring_063,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.346389979124069,183.5933972470229,0.002964981831610203,191.9427522079786
mixed_benign_operational_transaction_scoring_064,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.428794972132891,183.5933972470229,0.002983957529067993,192.0251761766849
mixed_benign_operational_transaction_scoring_065,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.25130904559046,186.8653275014367,0.00318500678986311,195.119821553817
mixed_benign_operational_transaction_scoring_066,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.253742998931557,186.8653275014367,0.003254972398281097,195.1223254727665
mixed_benign_operational_transaction_scoring_067,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.458108990453184,186.8653275014367,0.002855027560144663,195.32629151945
mixed_benign_operational_transaction_scoring_068,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,9.430284961126745,186.8653275014367,0.003113993443548679,196.298726456007
mixed_benign_operational_transaction_scoring_069,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.452030015178025,186.8653275014367,0.002945016603916883,195.3203025332186
mixed_benign_operational_transaction_scoring_070,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.486140985041857,186.8653275014367,0.002784014213830233,195.3542525006924
mixed_benign_routing_followup_001,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.400121005252004,186.8653275014367,0.003024004399776459,195.2684725110885
mixed_benign_routing_followup_002,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.67010501679033,186.8653275014367,0.00264396658167243,195.5380764848087
mixed_benign_routing_followup_003,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.286311000119895,184.1106794963707,0.002813991159200668,192.3998044876498
mixed_benign_routing_followup_004,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,BLOCK,0,8.257356996182352,0,0.003445020411163568,8.260802016593516
mixed_benign_routing_followup_005,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.431619964540005,184.1106794963707,0.003124994691461325,192.5454244556022
mixed_benign_routing_followup_006,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,9.500881016720086,184.1106794963707,0.003014050889760256,193.6145745639806
mixed_benign_routing_followup_007,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.434293034952134,184.1106794963707,0.003645021934062243,192.5486175532569
mixed_benign_routing_followup_008,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,9.642144083045423,184.1106794963707,0.003205030225217342,193.7560286096414
mixed_benign_routing_followup_009,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.313902013469487,184.1106794963707,0.002803979441523552,192.4273854892817
mixed_benign_routing_followup_010,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.377217978704721,184.1106794963707,0.003015040419995785,192.4909125154954
mixed_benign_routing_followup_011,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.488074003253132,184.1106794963707,0.002984015736728907,192.6017375153606
mixed_benign_routing_followup_012,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.465338964015245,183.4035179999773,0.002824002876877785,191.8716809668695
mixed_benign_routing_followup_013,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.194694004487246,183.4035179999773,0.002935004886239767,191.6011470093508
mixed_benign_routing_followup_014,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.427302993368357,183.4035179999773,0.00283500412479043,191.8336559974705
mixed_benign_routing_followup_015,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.361783984582871,183.4035179999773,0.002963992301374674,191.7682659768616
mixed_benign_routing_followup_016,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.365079003851861,183.4035179999773,0.002924003638327122,191.7715210074675
mixed_benign_routing_followup_017,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.397297002375126,183.4035179999773,0.00265403650701046,191.8034690388595
mixed_benign_routing_followup_018,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.224188000895083,183.4035179999773,0.003034016117453575,191.6307400169899
mixed_benign_routing_followup_019,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.042927016504109,183.4035179999773,0.002984015736728907,191.4494290322182
mixed_benign_routing_followup_020,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.194472989998758,184.3124798760982,0.002774992026388645,192.5097278581234
mixed_benign_routing_followup_021,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.121163002215326,184.3124798760982,0.002714048605412245,192.436356926919
mixed_benign_routing_followup_022,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.498198993038386,184.3124798760982,0.002883956767618656,192.8135628259042
mixed_benign_routing_followup_023,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.171579975169152,184.3124798760982,0.00304501736536622,192.4871048686327
mixed_benign_routing_followup_024,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.162776008248329,184.3124798760982,0.002735003363341093,192.4779908877099
mixed_benign_routing_followup_025,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.320363005623221,184.3124798760982,0.00283500412479043,192.6356778858462
mixed_benign_routing_followup_026,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.60798399662599,184.3124798760982,0.002974993549287319,192.9234388662735
mixed_benign_routing_followup_027,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.252870989963412,184.3124798760982,0.002994027454406023,192.568344893516
mixed_benign_routing_followup_028,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.316405990626663,185.2143298747251,0.002905027940869331,193.5336408932926
mixed_benign_routing_followup_029,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.17883899435401,185.2143298747251,0.002704968210309744,193.3958738372894
mixed_benign_routing_followup_030,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.027622010558844,185.2143298747251,0.003345019649714231,193.2452969049336
mixed_benign_routing_followup_031,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.372741052880883,185.2143298747251,0.002744025550782681,193.5898149531567
mixed_benign_routing_followup_032,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.392440038733184,185.2143298747251,0.002764980308711529,193.609534893767
mixed_benign_routing_followup_033,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.019501983653754,185.2143298747251,0.002622953616082668,193.2364548119949
mixed_benign_routing_followup_034,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.293340972159058,185.2143298747251,0.002764980308711529,193.5104358271929
mixed_benign_routing_followup_035,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.247132995165884,185.2143298747251,0.002604036126285791,193.4640669060173
mixed_benign_routing_followup_036,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.402756007853895,204.5067942526657,0.002814049366861582,212.9123643098865
mixed_benign_routing_followup_037,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.173793030437082,204.5067942526657,0.00306498259305954,212.6836522656959
mixed_benign_routing_followup_038,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.181234006769955,204.5067942526657,0.003074004780501127,212.6911022642162
mixed_benign_routing_followup_039,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.149245055392385,204.5067942526657,0.004606961738318205,212.6606462697964
mixed_benign_routing_followup_040,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.273651939816773,204.5067942526657,0.002663990017026663,212.7831101824995
mixed_benign_routing_followup_041,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.343968016561121,204.5067942526657,0.002663990017026663,212.8534262592439
mixed_benign_routing_followup_042,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.26447899453342,204.5067942526657,0.002663990017026663,212.7739372372162
mixed_benign_routing_followup_043,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.108725014608353,204.5067942526657,0.002974993549287319,212.6184942608234
mixed_benign_routing_followup_044,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.478518924675882,182.9641875010566,0.002985005266964436,191.4456914309994
mixed_benign_routing_followup_045,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,9.546379034873098,182.9641875010566,0.00285397982224822,192.5134205157519
mixed_benign_routing_followup_046,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.442414982710034,182.9641875010566,0.002934015356004238,191.4095364991226
mixed_benign_routing_followup_047,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.484638063237071,182.9641875010566,0.002684013452380896,191.451509577746
mixed_benign_routing_followup_048,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.305690018460155,182.9641875010566,0.00288401497527957,191.272761534492
mixed_benign_routing_followup_049,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.152960974257439,182.9641875010566,0.003094959538429976,191.1202434348525
mixed_benign_routing_followup_050,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.116776938550174,182.9641875010566,0.003104039933532476,191.0840684795403
mixed_benign_routing_followup_051,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.377487945836037,182.9641875010566,0.003074994310736656,191.3447504412034
mixed_benign_routing_followup_052,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.69512400822714,165.7586840010481,0.003164052031934261,174.4569720613072
mixed_benign_routing_followup_053,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,BLOCK,0,8.53956094942987,0,0.002904969733208418,8.542465919163078
mixed_benign_routing_followup_054,50x,mixed_traffic,plaintext_filter,plaintext_filter,benign,ALLOW,1,8.264547970611602,165.7586840010481,0.003003980964422226,174.0262359526241
