row_id,exposure_condition,eval_dataset,condition,filter_mode,source_type,filter_decision,response_generated,filter_total_ms,llm_generation_ms,routing_ms,total_pipeline_ms
mixed_benign_operational_transaction_scoring_001,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,63.81403497653082,183.5776223742869,0.01454097218811512,247.4061983230058
mixed_benign_operational_transaction_scoring_002,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,58.30581102054566,183.5776223742869,0.005127978511154652,241.8885613733437
mixed_benign_operational_transaction_scoring_003,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.60559702664614,183.5776223742869,0.004036002792418003,240.1872554037254
mixed_benign_operational_transaction_scoring_004,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,58.31322097219527,183.5776223742869,0.0033950200304389,241.8942383665126
mixed_benign_operational_transaction_scoring_005,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,58.1251599942334,183.5776223742869,0.003405031748116016,241.7061874002684
mixed_benign_operational_transaction_scoring_006,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.16396403638646,183.5776223742869,0.003495020791888237,239.7450814314652
mixed_benign_operational_transaction_scoring_007,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,59.65042900061235,183.5776223742869,0.003544962964951992,243.2315963378642
mixed_benign_operational_transaction_scoring_008,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.81686499156058,183.5776223742869,0.003445020411163568,240.3979323862586
mixed_benign_operational_transaction_scoring_009,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,55.87857501814142,183.5723336262163,0.003474997356534004,239.4543836417142
mixed_benign_operational_transaction_scoring_010,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,55.971534922719,183.5723336262163,0.003295019268989563,239.5471635682043
mixed_benign_operational_transaction_scoring_011,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.97200796566904,183.5723336262163,0.003035005647689104,240.547376597533
mixed_benign_operational_transaction_scoring_012,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.99623399414122,183.5723336262163,0.003134948201477528,240.571702568559
mixed_benign_operational_transaction_scoring_013,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.10571493161842,183.5723336262163,0.002754037268459797,239.6808025951032
mixed_benign_operational_transaction_scoring_014,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.20452301809564,183.5723336262163,0.003085006028413773,239.7799416503403
mixed_benign_operational_transaction_scoring_015,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,55.92503497609869,183.5723336262163,0.002924993168562651,239.5002935954835
mixed_benign_operational_transaction_scoring_016,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.20248097693548,183.5723336262163,0.003124005161225796,239.777938608313
mixed_benign_operational_transaction_scoring_017,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,55.90139899868518,180.3877130005276,0.003034016117453575,236.2921460153302
mixed_benign_operational_transaction_scoring_018,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,58.59716894337907,180.3877130005276,0.003195018507540226,238.9880769624142
mixed_benign_operational_transaction_scoring_019,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.31435895338655,180.3877130005276,0.003043969627469778,236.7051159235416
mixed_benign_operational_transaction_scoring_020,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.09275703318417,180.3877130005276,0.00306498259305954,236.4835350163048
mixed_benign_operational_transaction_scoring_021,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.91271694377065,180.3877130005276,0.00306498259305954,237.3034949268913
mixed_benign_operational_transaction_scoring_022,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.02256098063663,180.3877130005276,0.00265403650701046,236.4129280176712
mixed_benign_operational_transaction_scoring_023,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,54.82885800302029,180.3877130005276,0.002813991159200668,235.2193849947071
mixed_benign_operational_transaction_scoring_024,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.16836104309186,180.3877130005276,0.002894026692956686,236.5589680703124
mixed_benign_operational_transaction_scoring_025,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.17144494317472,180.4666794996592,0.002924993168562651,236.6410494360025
mixed_benign_operational_transaction_scoring_026,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.0574330156669,180.4666794996592,0.002944027073681355,236.5270565423998
mixed_benign_operational_transaction_scoring_027,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,56.54514604248106,180.4666794996592,0.003145018126815557,237.0149705602671
mixed_benign_operational_transaction_scoring_028,1x,mixed_traffic,fhe_filter,fhe_filter,benign,ALLOW,1,55.6727759540081,180.4666794996592,0.002943968866020441,236.1423994225333
