phase,exposure_condition,batch_index,batch_size,start_example_index,end_example_index,elapsed_ms,gpu_synchronized_elapsed_ms
adapter_forward,1x,0,16,0,15,230.01174401724711,226.54592001345009
adapter_forward,1x,1,16,16,31,235.19565298920497,231.88431799644604
adapter_forward,1x,2,16,32,47,236.12729698652402,233.08606899809092
adapter_forward,1x,3,16,48,63,236.2205859972164,233.19869895931333
adapter_forward,1x,4,16,64,79,236.19696701643988,233.13898005289957
adapter_forward,1x,5,16,80,95,236.27004504669458,233.18865901092067
adapter_forward,1x,6,16,96,111,236.33639502804726,233.2378689898178
adapter_forward,1x,7,16,112,127,236.43443494802341,233.40972798177972
adapter_forward,1x,8,16,128,143,236.81311099790037,233.52530598640442
adapter_forward,1x,9,16,144,159,236.58022400923073,233.40837797150016
adapter_forward,1x,10,16,160,175,236.36887496104464,233.2949290284887
adapter_forward,1x,11,16,176,191,236.46172398002818,233.38265798520297
adapter_forward,1x,12,16,192,207,236.52622400550172,233.4514069953002
adapter_forward,1x,13,16,208,223,232.47292498126626,229.36846897937357
adapter_forward,1x,14,16,224,239,236.48647399386391,233.42145798960701
adapter_forward,1x,15,16,240,255,236.47825396619737,233.40220801765099
adapter_forward,1x,16,16,256,271,236.6218629758805,233.54201600886881
adapter_forward,1x,17,16,272,287,236.82528204517439,233.73647499829531
adapter_forward,1x,18,16,288,303,236.74989200662822,233.67501504253596
adapter_forward,1x,19,16,304,319,236.77604203112423,233.62292599631473
adapter_forward,1x,20,16,320,335,232.62514400994405,229.60843698820099
adapter_forward,1x,21,16,336,351,236.7618220159784,233.56694600079209
adapter_forward,1x,22,16,352,367,236.84343200875446,233.69036603253335
adapter_forward,1x,23,16,368,383,236.82892200304195,233.74217597302049
adapter_forward,1x,24,16,384,399,236.76460195565596,233.68636600207537
adapter_forward,1x,25,16,400,415,236.94179096492007,233.75999601557851
adapter_forward,1x,26,16,416,431,237.03322996152565,233.8814539834857
adapter_forward,1x,27,16,432,447,236.92692100303248,233.86880400357768
adapter_forward,1x,28,16,448,463,232.97221102984622,229.94310397189111
adapter_forward,1x,29,16,464,479,236.88543197931722,233.76738600200042
adapter_forward,1x,30,16,480,495,236.85356101486832,233.76761499093845
adapter_forward,1x,31,16,496,511,236.80951201822609,233.72512502828613
adapter_forward,1x,32,16,512,527,237.17049002880231,234.09211297985166
adapter_forward,1x,33,16,528,543,236.97511205682531,233.86370501248166
adapter_forward,1x,34,16,544,559,237.09201999008656,233.99137397063896
adapter_forward,1x,35,16,560,575,237.02794098062441,233.93000400392339
adapter_forward,1x,36,16,576,591,237.11710999486968,233.95810404326767
adapter_forward,1x,37,16,592,607,237.18567995820194,234.12794299656525
adapter_forward,1x,38,16,608,623,237.17362899333239,234.01051299879327
adapter_forward,1x,39,16,624,639,237.24374902667478,234.12170301890001
adapter_forward,1x,40,16,640,655,237.1229599812068,234.06088299816474
adapter_forward,1x,41,16,656,671,237.26780898869038,234.19172299327329
adapter_forward,1x,42,16,672,687,237.2599890222773,234.19903300236911
adapter_forward,1x,43,16,688,703,237.22866002935916,234.15165301412344
adapter_forward,1x,44,16,704,719,237.24890797166154,234.18202198809013
adapter_forward,1x,45,16,720,735,237.30403900844976,234.21285196673125
adapter_forward,1x,46,16,736,751,237.2553989989683,234.18639198644087
adapter_forward,1x,47,16,752,767,237.34503798186779,234.24904205603525
adapter_forward,1x,48,16,768,783,237.37446800805628,234.20749203069136
adapter_forward,1x,49,16,784,799,237.43572802050039,234.37627102248371
adapter_forward,1x,50,16,800,815,237.86102404119447,234.46733999298885
adapter_forward,1x,51,16,816,831,237.53470700467005,234.33808103436604
adapter_forward,1x,52,16,832,847,237.43449803441763,234.35059195617214
adapter_forward,1x,53,16,848,863,237.7249650307931,234.62914902484044
adapter_forward,1x,54,16,864,879,237.9737839801237,234.66532898601145
adapter_forward,1x,55,16,880,895,237.60026699164882,234.31089101359248
adapter_forward,1x,56,16,896,911,237.51256696414202,234.38572097802535
adapter_forward,1x,57,16,912,927,233.42990898527205,230.39196198806167
adapter_forward,1x,58,16,928,943,237.4545669881627,234.33124099392444
adapter_forward,1x,59,16,944,959,237.4686180264689,234.39460102235898
adapter_forward,1x,60,16,960,975,237.66923701623455,234.58813002798706
adapter_forward,1x,61,16,976,991,237.53694701008499,234.49226102093235
adapter_forward,1x,62,16,992,1007,237.84662503749132,234.75874902214855
adapter_forward,1x,63,16,1008,1023,233.67760598193854,230.64026999054477
adapter_forward,1x,64,16,1024,1039,237.71242605289444,234.64508895995095
adapter_forward,1x,65,16,1040,1055,240.94311101362109,237.75112500879914
adapter_forward,1x,66,16,1056,1071,237.63238597894087,234.54591003246605
adapter_forward,1x,67,16,1072,1087,237.8333350061439,234.71879801945761
adapter_forward,1x,68,16,1088,1103,237.77428601169959,234.70590898068622
adapter_forward,1x,69,16,1104,1119,237.75614600162953,234.70085900044069
adapter_forward,1x,70,16,1120,1135,237.77957604033872,234.71053899265826
adapter_forward,1x,71,16,1136,1151,237.90046398062259,234.83112803660333
adapter_forward,1x,72,16,1152,1167,237.79628600459546,234.73571898648515
adapter_forward,1x,73,16,1168,1183,237.8393950057216,234.76908798329532
adapter_forward,1x,74,16,1184,1199,237.83680499764159,234.7695580101572
adapter_forward,1x,75,16,1200,1215,237.87388496566564,234.80306804412976
adapter_forward,1x,76,16,1216,1231,238.00086398841813,234.93393696844578
adapter_forward,1x,77,16,1232,1247,238.0334539921023,234.89865800365806
adapter_forward,1x,78,16,1248,1263,237.86508402554318,234.79323799256235
adapter_forward,1x,79,16,1264,1279,241.05638102628291,237.93916503200307
adapter_forward,1x,80,16,1280,1295,237.90504405042157,234.82681799214333
adapter_forward,1x,81,16,1296,1311,237.83070599893108,234.74248900311068
adapter_forward,1x,82,16,1312,1327,237.87614400498569,234.71041896846145
adapter_forward,1x,83,16,1328,1343,237.91717499261722,234.8335679853335
adapter_forward,1x,84,16,1344,1359,237.84312501084059,234.70297903986648
adapter_forward,1x,85,16,1360,1375,241.18758999975398,237.96487401705235
adapter_forward,1x,86,16,1376,1391,237.99821402644739,234.85272802645341
adapter_forward,1x,87,16,1392,1407,238.04788402048871,234.89700799109414
adapter_forward,1x,88,16,1408,1423,238.17863204749301,235.02091597765684
adapter_forward,1x,89,16,1424,1439,238.11061400920153,234.9709480185993
adapter_forward,1x,90,16,1440,1455,237.97242401633412,234.88063702825457
adapter_forward,1x,91,16,1456,1471,238.08803403517231,235.0055169663392
adapter_forward,1x,92,16,1472,1487,238.24997199699283,235.17754598287866
adapter_forward,1x,93,16,1488,1503,238.10177395353094,235.04047695314512
adapter_forward,1x,94,16,1504,1519,234.28786202566698,231.26659501576796
adapter_forward,1x,95,16,1520,1535,238.25161199783906,235.12909596320242
adapter_forward,1x,96,16,1536,1551,238.23509301291779,235.13504699803889
adapter_forward,1x,97,16,1552,1567,238.40188101166859,235.24031601846218
adapter_forward,1x,98,16,1568,1583,238.3463210426271,235.1985250134021
adapter_forward,1x,99,16,1584,1599,238.36657201172784,235.27889500837773
adapter_forward,1x,100,16,1600,1615,238.38240100303665,235.30932504218072
