phase,exposure_condition,batch_index,batch_size,start_example_index,end_example_index,elapsed_ms,gpu_synchronized_elapsed_ms
base_forward,base,0,16,0,15,526.71909902710468,523.21067597949877
base_forward,base,1,16,16,31,126.71687896363437,123.46585403429344
base_forward,base,2,16,32,47,134.26257896935567,131.22594298329204
base_forward,base,3,16,48,63,134.9995750351809,131.98805798310786
base_forward,base,4,16,64,79,135.56004001293331,132.49240402365103
base_forward,base,5,16,80,95,135.70770900696516,132.71325203822926
base_forward,base,6,16,96,111,135.85267798043787,132.72026198683307
base_forward,base,7,16,112,127,135.86790801491588,132.7673610066995
base_forward,base,8,16,128,143,135.96662704367191,132.86385999526829
base_forward,base,9,16,144,159,135.75461902655661,132.72482197498903
base_forward,base,10,16,160,175,135.87692804867402,132.84602103522047
base_forward,base,11,16,176,191,135.94585697865114,132.90904101449996
base_forward,base,12,16,192,207,135.95643697772175,132.93050997890532
base_forward,base,13,16,208,223,133.64486495265737,130.66359801450744
base_forward,base,14,16,224,239,135.90509799541906,132.82630097819492
base_forward,base,15,16,240,255,136.0238769557327,133.0140299978666
base_forward,base,16,16,256,271,136.05616596760228,133.04629904450849
base_forward,base,17,16,272,287,136.08250702964142,133.06043995544314
base_forward,base,18,16,288,303,136.41762296902016,133.34797701099887
base_forward,base,19,16,304,319,136.140925984364,133.03074997384101
base_forward,base,20,16,320,335,133.93503299448639,130.99974498618394
base_forward,base,21,16,336,351,135.96513704396784,132.88565096445382
base_forward,base,22,16,352,367,136.19941601064056,133.20017902879044
base_forward,base,23,16,368,383,136.3113839761354,133.21014802204445
base_forward,base,24,16,384,399,136.21458498528227,133.12357902759686
base_forward,base,25,16,400,415,136.47933397442102,133.35901696700603
base_forward,base,26,16,416,431,136.35445397812873,133.26431799214333
base_forward,base,27,16,432,447,136.23094500508159,133.24503798503429
base_forward,base,28,16,448,463,134.14525199914351,131.12283498048782
base_forward,base,29,16,464,479,136.22312498046085,133.08797898935154
base_forward,base,30,16,480,495,136.59804302733392,133.5429169703275
base_forward,base,31,16,496,511,136.65685197338462,133.6148550035432
base_forward,base,32,16,512,527,136.56602299306542,133.48726602271199
base_forward,base,33,16,528,543,136.53972302563488,133.45205702353269
base_forward,base,34,16,544,559,136.51985296746716,133.4994460339658
base_forward,base,35,16,560,575,136.70710200676695,133.66982497973368
base_forward,base,36,16,576,591,136.63057197118178,133.52432602550834
base_forward,base,37,16,592,607,136.70300197554752,133.55611596489325
base_forward,base,38,16,608,623,136.58948201918975,133.55853600660339
base_forward,base,39,16,624,639,136.7131220176816,133.60145594924688
base_forward,base,40,16,640,655,136.58804196165875,133.58485500793904
base_forward,base,41,16,656,671,136.68288302142173,133.6780259734951
base_forward,base,42,16,672,687,136.67323201661929,133.65013495786116
base_forward,base,43,16,688,703,136.42590399831533,133.32063797861338
base_forward,base,44,16,704,719,136.56246295431629,133.46198701765388
base_forward,base,45,16,720,735,136.48816401837394,133.42166796792299
base_forward,base,46,16,736,751,136.39320398215204,133.35737801389769
base_forward,base,47,16,752,767,136.73573196865618,133.63750500138849
base_forward,base,48,16,768,783,136.61188201513141,133.57054500374943
base_forward,base,49,16,784,799,136.55517401639372,133.51473695365712
base_forward,base,50,16,800,815,136.51363301323727,133.43672698829323
base_forward,base,51,16,816,831,136.53690298087895,133.43609700677916
base_forward,base,52,16,832,847,136.59584301058203,133.33412795327604
base_forward,base,53,16,848,863,136.50854304432869,133.35347798420116
base_forward,base,54,16,864,879,136.74539100611582,133.62195499939844
base_forward,base,55,16,880,895,136.47630403283983,133.40759702259675
base_forward,base,56,16,896,911,136.67695201002061,133.64621601067483
base_forward,base,57,16,912,927,134.13712102919817,131.16114400327206
base_forward,base,58,16,928,943,136.66030298918486,133.65935598267242
base_forward,base,59,16,944,959,136.69508200837299,133.67177598411217
base_forward,base,60,16,960,975,136.70589099638164,133.70344397844747
base_forward,base,61,16,976,991,136.51818397920579,133.40637797955424
base_forward,base,62,16,992,1007,136.51316403411329,133.46182700479403
base_forward,base,63,16,1008,1023,134.23370104283094,131.20740395970643
base_forward,base,64,16,1024,1039,136.80556102190167,133.71583499247208
base_forward,base,65,16,1040,1055,137.91678298730403,134.85863601090387
base_forward,base,66,16,1056,1071,136.7201809771359,133.66804498946294
base_forward,base,67,16,1072,1087,136.71355199767277,133.70610499987379
base_forward,base,68,16,1088,1103,136.79478102130815,133.75824398826808
base_forward,base,69,16,1104,1119,136.79301203228533,133.73972504632547
base_forward,base,70,16,1120,1135,136.93783100461587,133.89712403295562
base_forward,base,71,16,1136,1151,137.08196900552139,134.00383299449459
base_forward,base,72,16,1152,1167,136.7551310104318,133.69684497592971
base_forward,base,73,16,1168,1183,136.92406105110422,133.91779398079962
base_forward,base,74,16,1184,1199,136.64423202862963,133.62927496200427
base_forward,base,75,16,1200,1215,136.71440200414509,133.70513496920466
base_forward,base,76,16,1216,1231,136.96130999596789,133.84393404703587
base_forward,base,77,16,1232,1247,137.06890901084989,134.01135301683098
base_forward,base,78,16,1248,1263,137.01498002046719,133.84395401226357
base_forward,base,79,16,1264,1279,138.33086902741343,135.21660299738869
base_forward,base,80,16,1280,1295,136.87952095642686,133.86641402030364
base_forward,base,81,16,1296,1311,136.86789001803845,133.83420300669968
base_forward,base,82,16,1312,1327,136.8563610012643,133.81622399901971
base_forward,base,83,16,1328,1343,136.99868996627629,133.95845302147791
base_forward,base,84,16,1344,1359,137.01800000853837,133.85912403464317
base_forward,base,85,16,1360,1375,138.26006004819646,135.16621402231976
base_forward,base,86,16,1376,1391,136.92316995002329,133.90534301288426
base_forward,base,87,16,1392,1407,137.02764001209289,134.00260300841182
base_forward,base,88,16,1408,1423,137.11154897464439,134.11020196508616
base_forward,base,89,16,1424,1439,137.1547490125522,134.10680298693478
base_forward,base,90,16,1440,1455,137.13110802927986,134.11863095825538
base_forward,base,91,16,1456,1471,137.17061904026195,134.12846199935302
base_forward,base,92,16,1472,1487,137.20342796295881,134.18224098859355
base_forward,base,93,16,1488,1503,137.33495702035725,134.31117997970432
base_forward,base,94,16,1504,1519,134.7897169762291,131.78281002910808
base_forward,base,95,16,1520,1535,137.00560003053397,133.98538297042251
base_forward,base,96,16,1536,1551,137.30458699865267,134.26237000385299
base_forward,base,97,16,1552,1567,137.28615798754618,134.27651103120297
base_forward,base,98,16,1568,1583,137.1073389891535,134.09319205675274
base_forward,base,99,16,1584,1599,137.23900797776878,134.20645100995898
base_forward,base,100,16,1600,1615,137.35900796018541,134.31313104229048
base_forward,base,101,16,1616,1631,137.35577702755108,134.32556099724025
base_forward,base,102,16,1632,1647,137.28227798128501,134.27004200639203
base_forward,base,103,16,1648,1663,137.21533899661154,134.2110619880259
base_forward,base,104,16,1664,1679,137.35769700724632,134.29887098027393
base_forward,base,105,16,1680,1695,137.30479701189324,134.260451013688
base_forward,base,106,16,1696,1711,137.36705697374418,134.24483098788187
base_forward,base,107,16,1712,1727,137.44783698348328,134.38761001452804
base_forward,base,108,16,1728,1743,137.41711701732129,134.39449004363269
