eval_id,record_id,split,is_member,is_canary,loss_base
mia_REC-000001,REC-000001,member,1,0,3.077789306640625
mia_REC-000002,REC-000002,non_member,0,0,3.0791566371917725
mia_REC-000003,REC-000003,non_member,0,0,3.0966992378234863
mia_REC-000004,REC-000004,member,1,0,3.0741796493530273
mia_REC-000005,REC-000005,non_member,0,0,3.0952291488647461
mia_REC-000006,REC-000006,member,1,0,3.1120924949645996
mia_REC-000007,REC-000007,member,1,0,3.1188840866088867
mia_REC-000008,REC-000008,member,1,0,3.0862751007080078
mia_REC-000009,REC-000009,non_member,0,0,3.1117520332336426
mia_REC-000010,REC-000010,non_member,0,0,3.0538356304168701
mia_REC-000011,REC-000011,member,1,0,3.0701017379760742
mia_REC-000012,REC-000012,member,1,0,3.0797171592712402
mia_REC-000013,REC-000013,member,1,0,3.104212760925293
mia_REC-000014,REC-000014,member,1,0,3.0924899578094482
mia_REC-000015,REC-000015,member,1,0,3.0453801155090332
mia_REC-000016,REC-000016,member,1,0,3.0562951564788818
mia_REC-000017,REC-000017,member,1,0,3.0873100757598877
mia_REC-000018,REC-000018,non_member,0,0,3.0590343475341797
mia_REC-000019,REC-000019,member,1,0,3.0549991130828857
mia_REC-000020,REC-000020,non_member,0,0,3.0761692523956299
mia_REC-000021,REC-000021,member,1,0,3.0828347206115723
mia_REC-000022,REC-000022,member,1,0,3.0951240062713623
mia_REC-000023,REC-000023,member,1,0,3.084439754486084
mia_REC-000024,REC-000024,non_member,0,0,3.0820891857147217
mia_REC-000025,REC-000025,member,1,0,3.1001415252685547
mia_REC-000026,REC-000026,member,1,0,3.0753257274627686
mia_REC-000027,REC-000027,non_member,0,0,3.1111531257629395
mia_REC-000028,REC-000028,member,1,0,3.0845856666564941
mia_REC-000029,REC-000029,non_member,0,0,3.1630995273590088
mia_REC-000030,REC-000030,member,1,0,3.0756473541259766
mia_REC-000031,REC-000031,member,1,1,3.0904045104980469
mia_REC-000032,REC-000032,member,1,0,3.0778660774230957
mia_REC-000033,REC-000033,member,1,0,3.0456418991088867
mia_REC-000034,REC-000034,member,1,0,3.0710453987121582
mia_REC-000035,REC-000035,member,1,0,3.0815856456756592
mia_REC-000036,REC-000036,member,1,0,3.1173532009124756
mia_REC-000037,REC-000037,member,1,0,3.0962502956390381
mia_REC-000038,REC-000038,member,1,0,3.1053261756896973
mia_REC-000039,REC-000039,member,1,0,3.0997829437255859
mia_REC-000040,REC-000040,non_member,0,0,3.0412201881408691
mia_REC-000041,REC-000041,member,1,0,3.0822913646697998
mia_REC-000042,REC-000042,member,1,0,3.0795810222625732
mia_REC-000043,REC-000043,member,1,0,3.0503349304199219
mia_REC-000044,REC-000044,member,1,0,3.0766415596008301
mia_REC-000045,REC-000045,member,1,0,3.0845599174499512
